latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
43.06012,-4.84039,336.73,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,302.69,8.17,N
43.06018,-4.88848,304.27,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.24,1.06,N
43.06065,-4.8937,304.8,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.94,1.06,N
43.06071,-4.84697,317.06,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.53,8.52,N
43.06112,-4.89903,310,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,292.68,1.75,N
43.06422,-4.83888,342.13,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.31,8.17,N
43.06483,-4.8456,337.83,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,294.22,8.52,N
43.06776,-4.83127,319.78,0.42,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,289.1,3.18,N
43.06833,-4.83751,329.34,0.43,0.46,2025-08-16,145,N21,VIIRS,n,2.0NRT,293.32,3.18,N
42.99032,-4.827,302.96,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.12,22.32,N
42.99245,-4.83344,306.14,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.97,22.32,N
42.99347,-4.83918,319.34,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.36,28.07,N
42.99384,-4.8621,303.59,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.06,9.75,N
42.99429,-4.839,328.65,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,292.79,19.01,N
42.99458,-4.86199,317.93,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.43,8.35,N
42.99538,-4.82307,341.77,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.99,41.02,N
42.99548,-4.84517,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,298.79,27.28,N
42.99588,-4.86814,338.16,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,293.78,9.75,N
42.99632,-4.82305,352.36,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,293.55,22.32,N
42.99635,-4.84526,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,300.24,19.01,N
42.99674,-4.86853,340.97,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,294.73,21.83,N
42.99771,-4.85182,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,296.18,27.28,N
42.9979,-4.83061,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,302.96,28.07,N
42.99802,-4.80915,307.78,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.64,4.53,N
42.99847,-4.87588,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,299.47,19.15,N
42.99863,-4.85218,347.85,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,294.02,15.89,N
42.99889,-4.7899,299.67,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,288.57,3.15,N
42.99894,-4.83102,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,299.75,22.32,N
42.99899,-4.809,308.18,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.75,3.43,N
42.99932,-4.87636,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,300.34,21.83,N
42.99981,-4.7894,299.49,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,288.38,1.75,N
43.00012,-4.85902,322.24,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.63,13.89,N
43.00012,-4.83723,314.21,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.29,28.07,N
43.00058,-4.88215,327.52,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.71,19.15,N
43.00105,-4.85953,311.21,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.78,15.89,N
43.0012,-4.83786,301.92,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.29,19.01,N
43.00129,-4.88235,353.08,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,293.69,17.63,N
43.00247,-4.88777,323.4,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.2,5.01,N
43.00319,-4.88809,335.18,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.74,17.63,N
43.00513,-4.87396,307.64,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,292.74,13.79,N
43.00581,-4.87398,307.64,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,292.64,6.34,N
43.00685,-4.87908,347.76,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,296.14,13.79,N
43.00748,-4.87904,316.55,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,293.75,9,N
43.00842,-4.7746,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,290.68,26.33,N
43.00863,-4.88439,367,0.63,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,297.61,11.6,N
43.00931,-4.88458,354.51,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,295.81,9,N
43.00945,-4.77422,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,292.03,18.04,N
43.00988,-4.77896,331.23,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.51,21.34,N
43.01085,-4.77845,316.79,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.64,18.04,N
43.01108,-4.89168,301.31,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,287.86,11.6,N
43.01497,-4.88152,324.11,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.07,11.6,N
43.01582,-4.88225,324.32,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.93,9,N
43.01824,-4.86946,299.72,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,287.85,16.08,N
43.01894,-4.86955,309.81,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,288.62,15.95,N
43.02244,-4.88205,353.08,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,306.14,25.7,N
43.02327,-4.88281,367,0.63,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,309.05,15.95,N
43.0251,-4.75873,298.58,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,286.31,10.32,N
43.02525,-4.89048,349.64,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,293.4,25.7,N
43.02575,-4.86816,299.31,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,288.49,15.95,N
43.02595,-4.89099,331.6,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.32,10.25,N
43.02746,-4.89709,309.27,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.41,5.87,N
43.02811,-4.89757,312.35,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,292.18,10.25,N
43.02916,-4.88036,323.09,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.41,25.7,N
43.02958,-4.75019,298.49,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,285.16,9.1,N
43.02972,-4.88031,306.71,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.94,15.95,N
43.02982,-4.90416,321.4,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,292.2,5.87,N
43.03043,-4.90465,323.43,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.9,20.73,N
43.03084,-4.84162,305.08,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,288.84,2.81,N
43.03091,-4.75414,367,0.64,0.72,2025-08-16,328,N21,VIIRS,h,2.0NRT,293.98,10.32,N
43.0315,-4.8413,308.03,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.46,2.51,N
43.03209,-4.88754,301.63,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,291.16,10.25,N
43.03225,-4.91141,316.4,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,289.96,33.11,N
43.03244,-4.75872,303.49,0.64,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,288.27,10.32,N
43.0329,-4.91219,321.67,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,290.02,20.73,N
43.03359,-4.89361,305.94,0.63,0.72,2025-08-16,328,N21,VIIRS,n,2.0NRT,292.9,5.87,N
